code,code_type,label,family,sector,synonyms
9520.9900,NCO,Street Vendors; Non-Food Products; Other,Street Vendors (Food and Excluding Food) Miscellaneous,Unclassified,(food|excluding|food products, other|food)|miscellaneous|street|street vendors, non|vendors
9621.0400,NCO,Bellboy (Hotel & Restaurant),Messengers; Package Deliverers & Luggage Porters Miscellaneous,Unclassified,deliverers|luggage|messengers|miscellaneous|package|porters
9621.0501,NCO,Tyre Inflation Attendant,Messengers; Package Deliverers & Luggage Porters Miscellaneous,Unclassified,deliverers|luggage|messengers|miscellaneous|package|porters
9621.0900,NCO,Sorter - Mail,Messengers; Package Deliverers & Luggage Porters Miscellaneous,Unclassified,deliverers|luggage|mail|messengers|miscellaneous|package|porters|sorter
9621.9900,NCO,Messengers; Package Deliverers and Luggage Porters; Other,Messengers; Package Deliverers & Luggage Porters Miscellaneous,Unclassified,deliverers|luggage|messengers|miscellaneous|package|porters
9623.0300,NCO,Meter Reader,Meter Readers and Vending Machine Collectors Miscellaneous,Unclassified,collectors|machine|meter|miscellaneous|readers|vending
9623.0501,NCO,Tyre Inflation Attendant,Meter Readers and Vending Machine Collectors Miscellaneous,Unclassified,collectors|machine|meter|miscellaneous|readers|vending
2652.0300,NCO,Singer,Musicians/ Singers/ Composers/ Band Baja Players Musical Instruments,Unclassified,composers/|instruments|musical|musicians/|players|singers/
2652.9900,NCO,Musicians/ Singers/ Composers/ Band Baja Players; Others,Musicians/ Singers/ Composers/ Band Baja Players Musical Instruments,Unclassified,band baja players, others|composers|composers/|instruments|musical|musicians|musicians/|players
7312.1300,NCO,Instrument),Musical Instrument Makers and Tuners Musical Instruments Tabla Maker (Musical,Unclassified,(musical|instrument|instruments|maker|musical|tabla|tuners
7312.1700,NCO,Assembler,Musical Instrument Makers and Tuners Musical Instruments Brass Musical Instruments,Unclassified,brass|instrument|instruments|musical|tuners
3341.1000,NCO,Facility Management Office Assistant,Office Supervisors Office Administration &,Unclassified,administration|office|supervisors
4110.0100,NCO,Facility Management Clerk - General,General Office Clerks Office Administration &,Unclassified,administration|clerks|facility management clerk|general|office
4131.0600,NCO,Facility Management Computer Operator,Typists and Word Processing Operators Office Administration &,Unclassified,administration|office|processing|typists
